Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
21.3,213292960,126,1692801.3,1692576.0,1689984,1697024,1287.4,fused_dequantize_NT_matmul7_kernel
13.3,133199732,3024,44047.5,44095.0,42847,47904,483.4,fused_dequantize5_NT_matmul4_kernel
8.8,88460224,2268,39003.6,38880.0,37728,42752,732.4,fused_dequantize1_NT_matmul_kernel
7.9,79406368,2304,34464.6,34528.0,23552,36704,899.7,rnn_state_get_0_kernel
7.1,70782404,3024,23406.9,23360.0,22240,29728,414.3,fused_dequantize6_NT_matmul5_kernel
4.3,42885213,2304,18613.4,17344.0,16896,200864,9708.3,gdn_func_kernel
4.3,42690048,2268,18822.8,18720.0,17792,21184,517.1,fused_dequantize2_fused_NT_matmul1_silu1_multiply1_kernel
4.2,41860948,3024,13842.9,13728.0,13056,17184,583.0,fused_dequantize4_NT_matmul3_kernel
3.9,39171328,2304,17001.4,16768.0,15968,27968,699.4,rnn_state_set_0_kernel
2.4,24295582,756,32137.0,32128.0,31552,36320,258.1,fused_dequantize7_NT_matmul6_kernel
2.2,21525303,2268,9490.9,9568.0,8960,12480,360.6,depthwise_conv1d1_kernel
1.9,19323102,6048,3195.0,3104.0,2560,5632,268.0,fuse_add_norm_decode_kernel
1.6,16026207,2268,7066.2,6592.0,5920,10432,952.3,fused_dequantize3_NT_matmul2_kernel
1.6,15869152,2304,6887.7,6912.0,4960,8640,419.3,rnn_state_get_1_kernel
1.5,15126848,762,19851.5,20512.0,9312,31456,6285.5,batch_decode_paged_kv_kernel
1.4,14284283,2268,6298.2,6272.0,5824,9760,217.7,fused_dequantize3_fused_NT_matmul2_tir_sigmoid_cast2_kernel
1.2,11653152,2304,5057.8,5056.0,3744,6240,228.6,rnn_state_set_1_kernel
0.7,7044856,4536,1553.1,1504.0,1408,4032,169.0,fused_multiply_sum_kernel
0.7,6893952,2268,3039.7,3040.0,2688,4800,177.0,update_conv_state1_kernel
0.7,6603848,3024,2183.8,2207.0,1792,5376,318.8,fused_split1_silu2_multiply2_kernel
0.6,6446103,4536,1421.1,1376.0,1280,3584,128.8,fused_add_tir_sqrt_divide_cast1_kernel
0.6,5777557,4536,1273.7,1216.0,1120,3936,179.0,cast_kernel
0.5,5424543,2268,2391.8,2336.0,2112,4256,180.2,rms_norm1_kernel
0.5,5279200,128,41243.8,41216.0,39712,53120,1113.1,softmax_with_chunked_sum_kernel
0.4,4363389,2268,1923.9,1856.0,1760,3808,190.4,gate1_kernel
0.4,4288768,128,33506.0,33504.0,31840,34208,323.6,chunk_lse_kernel
0.4,3654330,2268,1611.3,1536.0,1408,4256,235.1,fused_silu_split_kernel_2
0.4,3576736,768,4657.2,4608.0,2752,6496,335.8,fused_rope_kernel
0.4,3524891,2268,1554.2,1472.0,1408,4160,206.4,fused_silu_split_kernel_1
0.4,3513693,2268,1549.2,1472.0,1408,4480,189.1,fused_silu_split_kernel
0.3,3408064,768,4437.6,4512.0,2112,5248,273.0,tir_kv_cache_transpose_append_kernel
0.3,3390560,2,1695280.0,1695280.0,1692544,1698016,3869.3,fused_dequantize_NT_matmul15_kernel
0.3,3267520,24,136146.7,136208.0,135040,137376,635.0,fused_dequantize5_NT_matmul12_kernel_2
0.3,2917211,2268,1286.2,1216.0,1184,3360,176.7,fused_cast1_kernel
0.3,2582400,24,107600.0,107584.0,106368,109472,675.2,fused_dequantize6_NT_matmul13_kernel_2
0.3,2516096,128,19657.0,10672.0,4576,58656,18434.2,parallel_sampling_from_prob_kernel
0.2,1858080,18,103226.7,103040.0,102592,105120,567.3,fused_dequantize1_NT_matmul8_kernel_2
0.2,1831866,756,2423.1,2336.0,2208,4320,247.1,rms_norm2_kernel
0.2,1698298,756,2246.4,2240.0,2144,4256,126.0,rms_norm3_kernel
0.2,1646336,756,2177.7,2176.0,1888,3360,159.2,fused_concatenate_kernel
0.2,1566752,24,65281.3,65264.0,64352,66144,449.9,fused_dequantize4_NT_matmul11_kernel_2
0.1,1264320,756,1672.4,1728.0,1376,3616,137.4,fused_tir_sigmoid1_multiply1_kernel
0.1,1262048,36,35056.9,34720.0,9792,71872,24994.7,depthwise_conv1d_kernel
0.1,1179326,756,1560.0,1663.0,1184,3552,354.3,split2_kernel
0.1,1086464,24,45269.3,45264.0,44064,47424,688.0,fused_dequantize5_NT_matmul12_kernel
0.1,1076128,18,59784.9,58064.0,57728,87840,7013.4,fused_dequantize3_fused_NT_matmul10_tir_sigmoid2_cast5_kernel_2
0.1,1066074,756,1410.2,1312.0,1184,3264,233.5,split3_kernel_1
0.1,1064992,18,59166.2,57408.0,57056,88032,7214.7,fused_dequantize3_NT_matmul10_kernel_2
